ds,dia_semana,mes,semana_anyo,trimestre,dia_mes,dia_semana_sin,dia_semana_cos,mes_sin,mes_cos,es_lunes,es_fin_semana,es_inicio_mes,temporada_gripe,temporada_calor,vuelta_al_cole,es_festivo,es_post_festivo,es_vispera,es_puente,dias_desde_festivo,tmax,tmin,tmed,prec,velmedia,frio_extremo,frio_moderado,calor_extremo,lluvia_alta,lluvia_moderada,ola_calor,amplitud_termica,semana_gripe_alta,semana_tramites_alta,n_eventos_dia,evento_masivo,partido_barca_casa,y
2018-01-01,0,1,1,1,1,0.0,1.0,0.49999999999999994,0.8660254037844387,1,0,1,1,0,0,1,0,0,0,0,14.5,8.3,11.4,0.0,26.3,0,1,0,0,0,0,6.199999999999999,0,1,0,0,0,60.3
2018-01-02,1,1,1,1,2,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,1,1,0,0,0,1,0,0,1,17.1,7.4,12.2,0.0,18.9,0,1,0,0,0,0,9.700000000000001,0,1,0,0,0,77.5
2018-01-03,2,1,1,1,3,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,1,1,0,0,0,0,0,0,2,20.5,11.7,16.1,0.0,32.6,0,0,0,0,0,0,8.8,0,1,0,0,0,65.7
2018-01-04,3,1,1,1,4,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0,0,0,0,0,3,20.6,11.1,15.8,0.0,29.2,0,0,0,0,0,0,9.500000000000002,0,1,0,0,0,67.1
2018-01-05,4,1,1,1,5,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0,0,0,1,0,4,18.0,8.4,13.2,0.0,20.2,0,1,0,0,0,0,9.6,0,1,0,0,0,71.0
2018-01-06,5,1,1,1,6,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0,1,0,1,0,0,1,0,0,0,0,15.2,6.1,10.6,0.8,30.6,0,1,0,0,0,0,9.1,0,1,0,0,0,45.5
2018-01-07,6,1,1,1,7,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,1,0,1,0,0,0,1,0,1,1,13.4,4.1,8.8,22.9,15.2,1,0,0,1,0,0,9.3,0,1,0,0,0,72.5
2018-01-08,0,1,2,1,8,0.0,1.0,0.49999999999999994,0.8660254037844387,1,0,0,1,0,0,0,0,0,0,2,13.0,3.2,8.1,0.1,13.0,1,0,0,0,0,0,9.8,1,1,0,0,0,87.0
2018-01-09,1,1,2,1,9,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0,0,0,0,0,3,13.4,3.6,8.5,0.0,14.7,1,0,0,0,0,0,9.8,1,1,0,0,0,78.7
2018-01-10,2,1,2,1,10,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0,0,0,0,0,4,13.5,5.2,9.4,0.0,15.8,0,1,0,0,0,0,8.3,1,1,0,0,0,73.9
2018-01-11,3,1,2,1,11,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0,0,0,0,0,5,13.5,5.5,9.5,0.2,22.2,0,1,0,0,0,0,8.0,1,1,0,0,0,69.5
