fecha,tmax,tmin,tmed,prec,velmedia
2018-01-01,14.5,8.3,11.4,0.0,26.3
2018-01-02,17.1,7.4,12.2,0.0,18.9
2018-01-03,20.5,11.7,16.1,0.0,32.6
2018-01-04,20.6,11.1,15.8,0.0,29.2
2018-01-05,18.0,8.4,13.2,0.0,20.2
2018-01-06,15.2,6.1,10.6,0.8,30.6
2018-01-07,13.4,4.1,8.8,22.9,15.2
2018-01-08,13.0,3.2,8.1,0.1,13.0
2018-01-09,13.4,3.6,8.5,0.0,14.7
2018-01-10,13.5,5.2,9.4,0.0,15.8
2018-01-11,13.5,5.5,9.5,0.2,22.2
2018-01-12,12.0,3.0,7.5,0.0,20.6
2018-01-13,12.2,1.8,7.0,0.8,14.0
2018-01-14,11.2,5.5,8.4,4.7,18.3
2018-01-15,12.2,3.5,7.8,0.0,14.9
2018-01-16,16.9,5.5,11.2,0.0,19.5
2018-01-17,15.6,8.8,12.2,0.2,34.6
2018-01-18,13.8,5.5,9.6,0.2,13.9
2018-01-19,13.5,4.1,8.8,0.0,12.0
2018-01-20,15.7,5.9,10.8,0.0,24.8
2018-01-21,20.5,12.1,16.3,0.0,26.7
2018-01-22,18.9,8.9,13.9,0.0,22.5
2018-01-23,15.6,6.5,11.0,0.0,12.4
2018-01-24,15.2,6.7,11.0,0.0,14.2
2018-01-25,13.9,6.6,10.2,0.0,16.1
2018-01-26,11.6,7.5,9.6,21.4,29.7
2018-01-27,12.5,5.6,9.0,0.1,11.3
2018-01-28,15.4,6.1,10.8,0.0,12.7
2018-01-29,15.9,5.0,10.4,0.0,12.7
2018-01-30,14.0,4.4,9.2,0.0,12.3
2018-01-31,14.8,4.3,9.6,0.0,20.3
2018-02-01,11.3,4.3,7.8,5.9,17.3
2018-02-02,11.9,4.1,8.0,1.7,19.4
2018-02-03,11.7,2.6,7.2,0.0,23.4
2018-02-04,9.7,3.5,6.6,13.0,33.5
2018-02-05,11.4,6.7,9.0,32.6,20.8
2018-02-06,11.4,7.3,9.4,8.2,18.8
2018-02-07,10.8,2.3,6.6,0.0,15.2
2018-02-08,7.3,1.7,4.5,9.5,13.2
2018-02-09,10.1,-0.5,4.8,0.0,17.7
2018-02-10,10.9,1.9,6.4,0.0,18.7
2018-02-11,13.3,0.9,7.1,0.7,16.3
2018-02-12,10.3,5.0,7.6,9.7,13.4
2018-02-13,10.9,0.4,5.6,0.4,28.8
2018-02-14,11.2,3.1,7.2,0.1,15.0
2018-02-15,15.0,5.1,10.0,0.0,11.0
2018-02-16,16.5,7.2,11.8,0.3,10.1
2018-02-17,13.7,7.1,10.4,2.3,16.2
2018-02-18,13.6,6.0,9.8,0.2,18.1
2018-02-19,11.7,6.3,9.0,0.0,15.5
2018-02-20,13.8,8.0,10.9,0.1,11.7
2018-02-21,13.8,4.4,9.1,4.8,22.5
2018-02-22,8.9,2.2,5.6,0.1,13.1
2018-02-23,9.4,3.6,6.5,0.1,17.4
2018-02-24,11.7,1.8,6.8,0.0,16.9
2018-02-25,14.4,3.2,8.8,0.0,14.6
2018-02-26,9.2,3.6,6.4,3.6,26.6
2018-02-27,4.3,1.3,2.8,1.4,26.4
2018-02-28,8.4,2.2,5.3,10.0,21.9
2018-03-01,14.1,7.9,11.0,4.0,18.0
2018-03-02,13.7,8.5,11.1,1.4,37.0
2018-03-03,18.1,9.4,13.8,0.9,26.4
2018-03-04,16.6,8.5,12.6,0.5,19.6
2018-03-05,16.1,6.6,11.4,3.8,24.5
2018-03-06,16.2,5.4,10.8,0.0,25.8
2018-03-07,15.7,5.0,10.4,0.0,17.0
2018-03-08,14.0,3.8,8.9,0.0,21.3
2018-03-09,15.7,5.1,10.4,0.2,20.4
2018-03-10,18.8,9.1,14.0,0.5,19.5
2018-03-11,17.5,10.0,13.8,0.1,30.2
2018-03-12,18.0,8.9,13.4,0.0,27.3
2018-03-13,15.3,7.3,11.3,0.5,13.7
2018-03-14,15.2,6.3,10.8,0.6,18.8
2018-03-15,18.1,8.8,13.4,1.9,22.5
2018-03-16,17.0,6.6,11.8,0.5,15.4
2018-03-17,14.5,4.7,9.6,3.2,24.1
2018-03-18,12.7,3.2,8.0,0.0,17.6
2018-03-19,14.7,3.9,9.3,1.1,22.0
2018-03-20,14.7,5.4,10.0,8.1,21.3
2018-03-21,13.4,2.9,8.2,0.1,20.1
2018-03-22,15.7,2.1,8.9,0.0,16.9
2018-03-23,14.9,4.7,9.8,0.0,19.2
2018-03-24,10.2,7.0,8.6,26.8,25.7
2018-03-25,12.7,7.3,10.0,1.4,20.1
2018-03-26,18.0,5.8,11.9,0.4,21.2
2018-03-27,15.4,5.4,10.4,0.0,18.9
2018-03-28,19.1,7.8,13.4,0.0,18.3
2018-03-29,15.1,9.9,12.5,0.0,22.0
2018-03-30,17.7,7.0,12.4,0.7,26.0
2018-03-31,17.3,7.0,12.2,0.0,32.2
2018-04-01,14.2,6.6,10.4,0.0,17.5
2018-04-02,15.1,5.7,10.4,0.0,13.2
2018-04-03,16.7,8.9,12.8,0.1,19.2
2018-04-04,20.8,8.3,14.6,0.0,21.4
2018-04-05,16.4,8.1,12.2,0.0,19.9
2018-04-06,15.2,7.3,11.2,0.9,13.4
2018-04-07,16.6,11.8,14.2,2.4,32.2
2018-04-08,15.1,10.6,12.8,9.2,16.6
2018-04-09,15.7,9.2,12.4,2.3,22.2
2018-04-10,14.7,6.3,10.5,3.5,24.9
2018-04-11,13.7,8.8,11.2,36.6,44.1
2018-04-12,15.3,7.3,11.3,0.1,24.4
2018-04-13,14.0,9.2,11.6,4.8,17.1
2018-04-14,15.4,11.2,13.3,4.5,17.4
2018-04-15,20.3,11.6,16.0,0.0,16.1
2018-04-16,16.9,11.9,14.4,2.5,21.5
2018-04-17,20.6,11.0,15.8,0.0,14.5
2018-04-18,20.9,11.3,16.1,0.0,12.3
2018-04-19,20.3,13.2,16.8,0.0,17.2
2018-04-20,20.2,11.3,15.8,0.0,10.2
2018-04-21,21.8,11.1,16.4,0.0,13.2
2018-04-22,21.5,11.8,16.6,0.0,18.3
2018-04-23,20.8,11.1,16.0,0.0,13.7
2018-04-24,22.4,13.1,17.8,0.0,12.6
2018-04-25,20.5,12.9,16.7,0.0,14.7
2018-04-26,19.8,14.1,17.0,0.0,18.5
2018-04-27,21.4,12.8,17.1,1.1,19.8
2018-04-28,19.5,14.1,16.8,0.6,15.1
2018-04-29,17.9,12.5,15.2,3.1,29.0
2018-04-30,17.6,9.9,13.8,0.0,24.2
2018-05-01,15.4,10.0,12.7,6.8,17.0
2018-05-02,17.9,7.6,12.8,0.0,20.5
2018-05-03,22.1,10.0,16.0,0.2,13.1
2018-05-04,18.4,12.8,15.6,1.9,19.3
2018-05-05,21.0,13.7,17.4,7.7,14.2
2018-05-06,21.7,13.2,17.4,0.4,11.2
2018-05-07,21.8,14.8,18.3,0.6,16.9
2018-05-08,20.4,15.2,17.8,1.6,13.7
2018-05-09,19.9,13.2,16.5,7.5,12.7
2018-05-10,18.1,14.9,16.5,0.9,16.5
2018-05-11,20.8,13.3,17.0,0.0,27.9
2018-05-12,18.6,13.0,15.8,3.5,28.9
2018-05-13,18.1,11.0,14.6,14.4,24.0
2018-05-14,17.2,9.5,13.4,0.1,18.6
2018-05-15,23.7,10.4,17.0,0.0,14.8
2018-05-16,19.1,12.7,15.9,0.0,13.2
2018-05-17,21.7,14.5,18.1,0.1,16.5
2018-05-18,19.7,15.0,17.4,0.1,12.9
2018-05-19,22.4,13.5,18.0,0.6,13.5
2018-05-20,22.3,14.7,18.5,0.2,11.6
2018-05-21,20.4,14.0,17.2,0.0,11.9
2018-05-22,21.9,14.1,18.0,1.1,11.7
2018-05-23,22.4,15.4,18.9,0.0,20.1
2018-05-24,22.6,15.9,19.2,0.0,15.0
2018-05-25,23.2,16.4,19.8,0.0,25.8
2018-05-26,22.5,17.1,19.8,1.1,26.3
2018-05-27,23.8,16.9,20.4,0.0,28.2
2018-05-28,21.5,16.4,19.0,8.4,23.9
2018-05-29,22.4,16.5,19.4,3.7,18.8
2018-05-30,20.7,16.8,18.8,16.6,12.3
2018-05-31,21.2,15.1,18.2,0.0,12.1
2018-06-01,22.7,16.8,19.8,0.3,13.7
2018-06-02,21.6,16.7,19.2,0.2,13.0
2018-06-03,20.8,16.5,18.6,20.4,23.4
2018-06-04,22.1,15.4,18.8,0.0,15.5
2018-06-05,22.9,17.2,20.0,5.2,19.9
2018-06-06,21.6,17.0,19.3,13.2,14.1
2018-06-07,20.5,14.9,17.7,3.4,10.2
2018-06-08,22.9,15.5,19.2,0.0,19.4
2018-06-09,24.0,16.3,20.2,0.0,16.2
2018-06-10,26.8,17.7,22.2,1.7,19.2
2018-06-11,26.8,18.6,22.7,0.4,22.5
2018-06-12,25.7,18.1,21.9,3.4,27.1
2018-06-13,26.5,16.0,21.2,0.0,13.0
2018-06-14,23.4,16.3,19.8,0.0,20.2
2018-06-15,23.7,16.5,20.1,0.0,16.0
2018-06-16,24.8,18.6,21.7,0.3,19.5
2018-06-17,23.4,19.6,21.5,0.2,19.4
2018-06-18,26.2,18.0,22.1,0.0,17.6
2018-06-19,27.2,18.7,23.0,0.0,22.3
2018-06-20,27.6,18.7,23.2,0.0,13.3
2018-06-21,28.7,18.0,23.4,0.0,14.7
2018-06-22,28.3,21.7,25.0,0.0,21.6
2018-06-23,25.9,22.0,24.0,0.0,18.8
2018-06-24,26.3,19.6,23.0,0.0,17.7
2018-06-25,26.2,21.0,23.6,0.0,20.0
2018-06-26,26.2,22.2,24.2,0.0,17.1
2018-06-27,29.8,20.3,25.0,0.0,23.2
2018-06-28,27.5,21.3,24.4,5.3,18.9
2018-06-29,26.4,21.1,23.8,1.8,17.8
2018-06-30,26.9,20.7,23.8,0.0,16.5
2018-07-01,27.1,20.3,23.7,0.0,15.7
2018-07-02,27.5,21.6,24.6,0.0,16.5
2018-07-03,28.3,21.9,25.1,0.0,19.2
2018-07-04,27.7,19.7,23.7,0.0,16.1
2018-07-05,28.6,22.1,25.4,0.0,25.7
2018-07-06,26.3,20.4,23.4,9.3,16.6
2018-07-07,28.9,21.6,25.2,0.0,19.6
2018-07-08,30.0,21.6,25.8,0.0,17.8
2018-07-09,30.8,21.6,26.2,0.0,17.2
2018-07-10,29.6,22.3,26.0,0.2,20.0
2018-07-11,28.2,22.1,25.2,0.1,16.2
2018-07-12,27.8,20.7,24.2,2.7,23.0
2018-07-13,28.5,19.8,24.2,0.0,22.3
2018-07-14,30.3,21.0,25.6,0.0,16.3
2018-07-15,28.4,20.5,24.4,0.1,17.8
2018-07-16,27.7,20.9,24.3,16.2,23.9
2018-07-17,27.6,20.4,24.0,0.0,17.4
2018-07-18,27.5,20.4,24.0,0.0,14.5
2018-07-19,28.5,20.4,24.4,0.0,16.6
2018-07-20,29.1,20.0,24.6,0.0,15.5
2018-07-21,27.4,22.1,24.8,3.4,21.7
2018-07-22,26.4,19.5,23.0,1.8,13.8
2018-07-23,28.5,20.4,24.4,0.1,23.7
2018-07-24,28.6,22.2,25.4,0.1,20.4
2018-07-25,30.6,21.6,26.1,0.0,15.8
2018-07-26,32.4,21.5,27.0,0.0,22.5
2018-07-27,31.1,21.2,26.2,0.0,23.9
2018-07-28,28.9,21.8,25.4,0.0,20.2
2018-07-29,28.8,22.6,25.7,0.1,20.2
2018-07-30,29.9,23.4,26.6,0.0,15.0
2018-07-31,31.1,22.5,26.8,0.0,14.8
2018-08-01,32.7,23.9,28.3,0.0,19.1
2018-08-02,32.5,24.9,28.7,0.0,18.0
2018-08-03,33.3,25.6,29.4,0.0,15.5
2018-08-04,35.4,26.1,30.8,0.0,16.8
2018-08-05,33.8,26.2,30.0,0.0,13.8
2018-08-06,30.9,24.2,27.6,0.1,14.3
2018-08-07,30.8,24.9,27.8,2.2,18.4
2018-08-08,28.8,20.6,24.7,9.2,16.8
2018-08-09,28.9,21.8,25.4,12.8,33.5
2018-08-10,26.4,21.1,23.8,0.0,19.1
2018-08-11,27.6,21.5,24.6,0.0,17.2
2018-08-12,29.3,22.7,26.0,0.2,24.1
2018-08-13,28.0,22.0,25.0,0.1,16.9
2018-08-14,27.2,21.5,24.4,1.5,22.8
2018-08-15,27.2,22.2,24.7,0.9,21.6
2018-08-16,29.1,22.6,25.8,0.8,18.4
2018-08-17,25.7,21.4,23.5,3.8,11.6
2018-08-18,26.4,19.7,23.0,16.9,14.8
2018-08-19,30.0,20.5,25.2,0.0,13.6
2018-08-20,30.0,20.5,25.2,0.0,14.6
2018-08-21,30.5,22.2,26.4,0.0,19.9
2018-08-22,29.0,20.2,24.6,0.0,13.8
2018-08-23,30.9,21.5,26.2,0.2,15.7
2018-08-24,27.9,22.0,25.0,1.5,22.4
2018-08-25,23.8,20.0,21.9,9.1,20.9
2018-08-26,24.5,19.7,22.1,4.1,24.6
2018-08-27,26.2,20.3,23.2,0.0,16.6
2018-08-28,28.3,21.1,24.7,0.0,23.1
2018-08-29,26.4,22.1,24.2,1.4,16.8
2018-08-30,27.5,20.5,24.0,3.4,18.5
2018-08-31,23.4,20.7,22.0,20.2,18.6
2018-09-01,24.1,20.5,22.3,4.6,17.0
2018-09-02,25.4,19.4,22.4,3.3,14.8
2018-09-03,25.3,21.2,23.2,12.0,13.1
2018-09-04,25.6,20.4,23.0,0.6,19.1
2018-09-05,25.6,19.6,22.6,4.9,17.7
2018-09-06,24.2,19.2,21.7,15.4,13.2
2018-09-07,25.1,19.0,22.0,1.2,12.6
2018-09-08,25.0,19.2,22.1,1.2,11.7
2018-09-09,25.1,19.8,22.5,4.6,11.1
2018-09-10,24.6,20.0,22.3,0.7,14.2
2018-09-11,27.0,19.6,23.3,0.0,12.8
2018-09-12,25.8,20.1,23.0,1.4,10.8
2018-09-13,27.6,20.0,23.8,0.2,21.7
2018-09-14,26.4,20.1,23.2,0.3,19.7
2018-09-15,24.8,20.5,22.6,4.8,13.9
2018-09-16,24.7,20.1,22.4,12.6,14.7
2018-09-17,25.1,19.5,22.3,0.7,16.5
2018-09-18,23.1,19.5,21.3,17.5,17.5
2018-09-19,25.9,18.5,22.2,0.6,10.4
2018-09-20,28.1,19.4,23.8,0.0,12.8
2018-09-21,28.1,19.5,23.8,0.0,17.7
2018-09-22,27.6,20.7,24.2,1.4,16.5
2018-09-23,27.5,20.5,24.0,0.0,19.0
2018-09-24,24.9,20.0,22.4,1.1,19.2
2018-09-25,24.3,18.2,21.2,0.3,23.9
2018-09-26,23.2,17.0,20.1,0.1,28.8
2018-09-27,22.7,13.6,18.2,0.0,14.6
2018-09-28,27.1,15.1,21.1,0.0,18.5
2018-09-29,24.8,16.2,20.5,0.0,23.4
2018-09-30,26.1,17.5,21.8,0.0,23.8
2018-10-01,23.3,16.0,19.6,2.5,24.2
2018-10-02,24.2,12.9,18.6,0.0,19.3
2018-10-03,24.6,14.3,19.5,0.0,19.6
2018-10-04,24.5,14.1,19.3,0.0,17.4
2018-10-05,23.7,15.4,19.6,0.0,15.0
2018-10-06,23.3,16.2,19.8,0.1,20.6
2018-10-07,19.4,14.4,16.9,26.6,18.0
2018-10-08,19.9,12.8,16.4,14.2,10.4
2018-10-09,22.2,14.6,18.4,47.8,25.4
2018-10-10,21.5,17.1,19.3,36.5,19.2
2018-10-11,23.9,14.9,19.4,0.0,16.3
2018-10-12,23.4,16.5,20.0,0.2,11.9
2018-10-13,22.4,18.5,20.4,4.4,13.0
2018-10-14,22.7,19.1,20.9,39.8,33.1
2018-10-15,20.6,15.2,17.9,17.9,38.1
2018-10-16,21.4,15.1,18.2,0.0,13.7
2018-10-17,22.1,15.2,18.6,0.7,14.0
2018-10-18,21.0,16.5,18.8,3.5,22.3
2018-10-19,22.3,17.4,19.8,0.0,26.6
2018-10-20,21.6,15.8,18.7,3.4,15.7
2018-10-21,23.6,14.0,18.8,0.0,16.7
2018-10-22,21.9,14.9,18.4,0.0,17.7
2018-10-23,20.7,13.1,16.9,0.0,13.3
2018-10-24,24.4,14.3,19.4,0.0,20.6
2018-10-25,22.1,13.5,17.8,0.0,15.6
2018-10-26,21.1,12.4,16.8,0.0,11.7
2018-10-27,17.1,11.7,14.4,23.8,20.5
2018-10-28,11.8,8.6,10.2,14.8,13.7
2018-10-29,13.9,7.4,10.6,0.2,25.1
2018-10-30,15.9,6.6,11.2,0.0,18.1
2018-10-31,15.1,9.3,12.2,46.7,33.0
2018-11-01,16.8,8.6,12.7,4.3,10.2
2018-11-02,17.2,9.5,13.4,0.0,12.2
2018-11-03,17.3,8.7,13.0,0.0,14.1
2018-11-04,20.6,10.8,15.7,0.0,13.3
2018-11-05,18.4,11.3,14.8,14.6,29.7
2018-11-06,15.5,9.8,12.6,0.0,17.6
2018-11-07,18.4,9.2,13.8,0.0,16.8
2018-11-08,16.2,9.8,13.0,0.2,10.8
2018-11-09,15.8,10.7,13.2,19.1,23.7
2018-11-10,18.3,8.4,13.4,0.0,22.7
2018-11-11,20.4,11.2,15.8,0.0,16.2
2018-11-12,18.9,12.2,15.6,0.7,17.5
2018-11-13,20.5,13.9,17.2,0.0,17.6
2018-11-14,19.0,14.7,16.8,0.1,17.1
2018-11-15,16.7,14.4,15.6,25.8,20.0
2018-11-16,17.5,11.3,14.4,1.1,15.7
2018-11-17,15.1,12.1,13.6,4.4,21.1
2018-11-18,13.6,11.6,12.6,22.9,31.3
2018-11-19,14.5,11.1,12.8,4.7,22.0
2018-11-20,14.0,9.4,11.7,6.3,7.9
2018-11-21,17.5,7.4,12.4,0.0,13.0
2018-11-22,17.1,7.2,12.2,0.0,9.0
2018-11-23,14.3,7.2,10.8,4.4,11.4
2018-11-24,15.0,5.1,10.0,0.0,13.4
2018-11-25,15.8,6.5,11.2,0.0,15.5
2018-11-26,14.5,6.5,10.5,6.2,18.5
2018-11-27,15.8,4.4,10.1,0.0,17.6
2018-11-28,15.8,5.5,10.6,0.0,12.4
2018-11-29,15.6,5.1,10.4,0.0,10.7
2018-11-30,14.2,7.8,11.0,1.4,15.8
2018-12-01,14.2,6.5,10.4,0.0,13.5
2018-12-02,16.9,7.2,12.0,0.0,14.3
2018-12-03,17.7,9.2,13.4,0.0,16.7
2018-12-04,17.9,9.2,13.6,0.0,15.5
2018-12-05,17.9,8.8,13.4,0.0,13.2
2018-12-06,16.2,8.9,12.6,0.0,15.9
2018-12-07,13.7,7.8,10.8,0.0,16.4
2018-12-08,15.0,7.2,11.1,0.2,12.8
2018-12-09,17.8,5.5,11.6,0.0,13.7
2018-12-10,14.3,6.8,10.6,0.0,10.7
2018-12-11,13.3,5.2,9.2,0.0,9.0
2018-12-12,14.2,6.9,10.6,0.0,11.1
2018-12-13,11.6,7.2,9.4,4.0,9.1
2018-12-14,14.2,6.9,10.6,5.0,17.1
